drugs,count
dopamine,44
propranolol,28
norepinephrine,24
lidocaine,21
ibuprofen,19
topiramate,16
amitriptyline,15
ketamine,14
acetaminophen,13
paracetamol,13
oxytocin,13
nitric oxide,13
gabapentin,12
adenosine,11
carbamazepine,11
valproate,11
sumatriptan,11
methylphenidate,10
duloxetine,10
epinephrine,9
melatonin,9
tryptophan,9
clonidine,8
methamphetamine,8
minocycline,8
rizatriptan,7
codeine,7
naloxone,7
fluoxetine,7
calcitonin,7
hydrocortisone,7
acetazolamide,6
sertraline,6
phenobarbital,6
progesterone,6
tamoxifen,5
venlafaxine,5
zolmitriptan,5
amoxicillin,5
thalidomide,5
oxycodone,5
amphetamine,5
tramadol,5
pregabalin,5
doxycycline,4
testosterone,4
paroxetine,4
lithium,4
fentanyl,4
metoprolol,4
ketorolac,4
flunarizine,4
imipramine,4
hydroxyurea,4
tapentadol,4
rifampicin,4
verapamil,4
ceftriaxone,4
dexamethasone,4
tranexamic acid,3
vincristine,3
yohimbine,3
hydromorphone,3
bupivacaine,3
midodrine,3
diazepam,3
nitrous oxide,3
budesonide,3
vigabatrin,3
prednisolone,3
quetiapine,3
ondansetron,3
risedronate,3
fludrocortisone,3
liraglutide,3
valproic acid,3
methysergide,3
indomethacin,3
naproxen,3
sildenafil,3
acetylsalicylic acid,3
valproic acid,,3
zonisamide,3
omalizumab,3
pizotifen,3
almotriptan,3
alprazolam,2
bleomycin,2
infliximab,2
phenytoin,2
folic acid,,2
furosemide,2
belatacept,2
minoxidil,2
clodronate,2
pindolol,2
donepezil,2
etomidate,2
tafluprost,2
elosulfase alfa,2
memantine,2
lamotrigine,2
canakinumab,2
chlorpromazine,2
somatostatin,2
prochlorperazine,2
felbamate,2
cetirizine,2
clonazepam,2
methadone,2
hyaluronidase,2
ribavirin,2
digoxin,2
thioridazine,2
sofosbuvir,2
calcitriol,2
prednisone,2
alpha-ethyltryptamine,2
fluticasone,2
bumetanide,2
haloperidol,2
cyproheptadine,2
lacosamide,2
nitroglycerin,2
dexfenfluramine,2
maprotiline,2
levetiracetam,2
propofol,2
risperidone,2
mupirocin,2
nortriptyline,2
amiloride,2
exemestane,2
baclofen,2
beclomethasone,2
diclofenac,2
meloxicam,2
riboflavin,2
perampanel,2
nifedipine,2
trazodone,2
anakinra,2
aripiprazole,2
adalimumab,2
montelukast,2
ezogabine,2
lorazepam,2
amobarbital,2
warfarin,2
bupropion,2
levodopa,2
idazoxan,2
anastrozole,2
cisplatin,2
iloprost,2
tacrolimus,2
loratadine,2
ciprofloxacin,2
roxithromycin,1
desogestrel,1
clobazam,1
laronidase,1
folic acid.,1
nilvadipine,1
primidone,1
etanercept,1
zafirlukast,1
alendronic acid,,1
dexketoprofen,1
plerixafor,1
pentobarbital,1
ethosuximide,1
celecoxib,1
nimesulide,1
chondroitin sulfate,,1
oxcarbazepine,1
phenylephrine,1
rituximab,1
nystatin,1
deferoxamine,1
rufinamide,1
eletriptan,1
labetalol,1
triamcinolone,1
diphenhydramine,1
menthol,1
bimatoprost,1
pramipexole,1
ergotamine,1
dextroamphetamine,1
betahistine,1
citalopram,1
nimodipine,1
niacin,1
oxymetazoline,1
tianeptine,1
daclatasvir,1
tranexamic acid,,1
metronidazole,1
tranexamic acid.,1
methotrexate,1
flupirtine,1
dextran,1
folic acid,1
lactulose,1
fluconazole,1
tamsulosin,1
famotidine,1
rasagiline,1
lysergic acid diethylamide,1
tocilizumab,1
cholecalciferol,1
vancomycin,1
remifentanil,1
stiripentol,1
modafinil,1
salbutamol,1
galsulfase,1
nebivolol,1
nitrous oxide,,1
thyroglobulin,1
nitrous oxide.,1
esmolol,1
ibutilide,1
tiagabine,1
dihydroergotamine,1
estradiol,1
cyclosporine,1
simvastatin,1
methylprednisolone,1
fluvoxamine,1
tenoxicam,1
hydrocodone,1
retigabine,1
dexmedetomidine,1
oxymorphone,1
acetylsalicylic acid.,1
meropenem,1
phentolamine,1
valganciclovir,1
astemizole,1
valproic acid.,1
buprenorphine,1
mercaptopurine,1
tetracycline,1
ascorbic acid,1
cyclandelate,1
cotinine,1
lisdexamfetamine,1
promethazine,1
linezolid,1
amiodarone,1
etoricoxib,1
escitalopram,1
silodosin,1
