drugs,count
topiramate,108
amitriptyline,64
propranolol,55
calcitonin,54
sumatriptan,44
valproate,42
ibuprofen,33
nitric oxide,33
flunarizine,32
dopamine,30
acetaminophen,29
riboflavin,28
melatonin,24
valproic acid,23
naproxen,22
cyproheptadine,16
paracetamol,15
levetiracetam,15
estradiol,15
nitroglycerin,14
zolmitriptan,12
pizotifen,12
aprepitant,11
lidocaine,11
ondansetron,10
nortriptyline,10
dihydroergotamine,10
pregabalin,10
norepinephrine,9
ketorolac,9
ketamine,9
zonisamide,9
desogestrel,8
fingolimod,8
prochlorperazine,8
indomethacin,8
methylprednisolone,8
sildenafil,8
rizatriptan,7
testosterone,7
metoprolol,7
carbamazepine,7
perampanel,7
gabapentin,7
metoclopramide,7
midazolam,6
adenosine,6
diphenhydramine,6
fluoxetine,6
tryptophan,6
acetylsalicylic acid,6
progesterone,6
dexamethasone,6
lamotrigine,5
ergotamine,5
candesartan,5
riociguat,5
prednisone,5
propofol,5
valproic acid,,5
escitalopram,5
doxycycline,4
interferon beta-1a,4
bosentan,4
acetazolamide,4
timolol,4
digoxin,4
fludrocortisone,4
methylphenidate,4
phenobarbital,4
nitric oxide,,4
anakinra,4
montelukast,4
frovatriptan,4
lorazepam,4
bisoprolol,4
tadalafil,4
midodrine,3
oxcarbazepine,3
cinnarizine,3
ketoprofen,3
eletriptan,3
amoxicillin,3
citalopram,3
levonorgestrel,3
clozapine,3
sevoflurane,3
folic acid,3
goserelin,3
lactulose,3
apraclonidine,3
clemastine,3
nadolol,3
aflibercept,3
adalimumab,3
desmopressin,3
valproic acid.,3
tetracycline,3
omalizumab,3
natalizumab,3
iloprost,3
almotriptan,3
infliximab,2
alprenolol,2
phenytoin,2
doxorubicin,2
primidone,2
treprostinil,2
etanercept,2
pindolol,2
rituximab,2
dabrafenib,2
atropine,2
memantine,2
trastuzumab,2
norethisterone,2
canakinumab,2
triamcinolone,2
menthol,2
mefenamic acid,2
drotaverine,2
calcitriol,2
macitentan,2
clopidogrel,2
brimonidine,2
icatibant,2
trametinib,2
famotidine,2
tolfenamic acid,,2
chlordiazepoxide,2
tocilizumab,2
mefenamic acid,,2
corticotropin,2
amiloride,2
kainic acid,2
clonidine,2
methysergide,2
fosaprepitant,2
eszopiclone,2
pyridoxine,2
danazol,2
nifedipine,2
trazodone,2
dienogest,2
hydroxyurea,2
aripiprazole,2
tapentadol,2
nivolumab,2
tegaserod,2
obinutuzumab,2
interferon beta-1a.,2
ceftriaxone,2
ascorbic acid,2
promethazine,2
phenoxybenzamine,2
atenolol,2
lenalidomide,2
trimebutine,2
alprazolam,1
vorinostat,1
folic acid,,1
bevacizumab,1
acebutolol,1
tamoxifen,1
ranitidine,1
vincristine,1
pizotifene,1
atorvastatin,1
rifaximin,1
plerixafor,1
pentobarbital,1
decitabine,1
naratriptan,1
bupivacaine,1
diazepam,1
nitrous oxide,1
lansoprazole,1
vigabatrin,1
pseudoephedrine,1
prednisolone,1
paroxetine,1
somatostatin,1
labetalol,1
gemcitabine,1
quetiapine,1
clonazepam,1
nimodipine,1
niacin,1
epinephrine,1
medroxyprogesterone,1
reserpine,1
chlorambucil,1
fluticasone,1
metamizole,1
isosorbide dinitrate,1
methotrexate,1
pomalidomide,1
haloperidol,1
lacosamide,1
maprotiline,1
bisacodyl,1
oseltamivir,1
tizanidine,1
nitric oxide;,1
risperidone,1
halothane,1
vancomycin,1
drospirenone,1
stiripentol,1
sertraline,1
azithromycin,1
tenecteplase,1
naproxene,1
nebivolol,1
phenol,1
selexipag,1
valproic acid;,1
tiagabine,1
meloxicam,1
calcifediol,1
kainic acid,,1
cilostazol,1
gabapentine,1
duloxetine,1
rifampicin,1
dexmedetomidine,1
butalbital,1
meropenem,1
acetylsalicylic acid,,1
minocycline,1
nalbuphine,1
cefpodoxime,1
interferon beta-1a,,1
buprenorphine,1
bupropion,1
carvedilol,1
teriflunomide,1
desipramine,1
linezolid,1
levodopa,1
cisplatin,1
glatiramer acetate,,1
chorionic gonadotropin,1
